month	day	psalm	old_testament	new_testament
4	14	욥28	수12-14	고후13
4	15	욥29	수15-17	막1
4	16	욥30	수18-20	막2
4	19	욥31	수21-22	막3
4	20	욥32	수23-24	막4
4	21	욥33	삿1-2	막5
4	22	욥34	삿3-5	막6
4	23	욥35	삿6-7	막7
4	26	욥36	삿8-9	막8
4	27	욥37	삿10-12	막9
4	28	욥38	삿13-15	막10
4	29	욥39	삿16-18	막11
4	30	욥40	삿19-21	막12
5	3	욥41	룻1-4	막13
5	4	욥42	삼상1-2	막14
5	5	시42	삼상3-5	막15
5	6	시43	삼상6-8	막16
5	7	시44:1-8	삼상9-11	갈1
5	10	시44:9-26	삼상12-14	갈2
5	11	시45	삼상15-16	갈3
5	12	시46	삼상17-18	갈4
5	13	시47	삼상19-21	갈5
5	14	시48	삼상22-24	갈6
5	17	시49	삼상25-27	엡1
5	18	시50	삼상28-31	엡2
5	19	시51	삼하1-2	엡3
5	20	시52	삼하3-5	엡4
5	21	시53	삼하6-8	엡5
5	24	시54	삼하9-11	엡6
5	25	시55	삼하12-13	빌1
5	26	시56	삼하14-15	빌2
5	27	시57	삼하16-17	빌3
5	28	시58	삼하17-19	빌4
5	31	시59	삼하20-22	골1
6	1	시60	삼하23-24	골2
6	2	시61	왕상1-2	골3
6	3	시62	왕상3-5	골4
6	4	시63	왕상6-7	살전1
6	7	시64	왕상8-9	살전2
6	8	시65	왕상10-11	살전3
6	9	시66	왕상12-13	살전4
6	10	시67	왕상14-16	살전5
6	11	시68	왕상17-19	살후1
6	14	시69:1-18	왕상18-19	살후2
6	15	시69:19-36	왕상20-22	살후3
6	16	시70	왕하1-2	딤전1
6	17	시71	왕하3-4	딤전2
6	18	시72	왕하5-7	딤전3
6	21	잠1	왕하8-9	딤전4
6	22	잠2	왕하10-12	딤전5
6	23	잠3	왕하13-15	딤전6
6	24	잠4	왕하16-17	딤후1
6	25	잠5	왕하18-19	딤후2
6	28	잠6	왕하20-22	딤후3
6	29	잠7	왕하23-25	딤후4
6	30	잠8	대상1-3	딛1
7	1	잠9	대상4-6	딛2
7	2	잠10	대상7-9	딛3
7	5	잠11	대상10-12	눅1
7	6	잠12	대상13-15	눅2
7	7	잠13	대상16-18	눅3
7	8	잠14	대상19-21	눅4
7	9	잠15	대상22-24	눅5
7	12	잠16	대상25-27	눅6
7	13	잠17	대상28-29	눅7
7	14	잠18	대하1-3	눅8
7	15	잠19	대하4-6	눅9
7	16	잠20	대하7-9	눅10
7	19	잠21	대하10-12	눅11
7	20	잠22	대하13-15	눅12
7	21	잠23	대하16-18	눅13
7	22	잠24	대하19-20	눅14
7	23	잠25	대하21-23	눅15
7	26	잠26	대하24-25	눅16
7	27	잠27	대하26-28	눅17
7	28	잠28	대하29-30	눅18
7	29	잠29	대하31-33	눅19
7	30	잠30	대하34-36	눅20
8	2	잠31	스1	눅21
8	3	시73	스2	눅22
8	4	시74	스3	눅23
8	5	시75	스4	눅24
8	6	시76	스5	행1
8	9	시77	스6	행2
8	10	시78:1-39	스7	행3
8	11	시78:40-72	스8	행4
8	12	시79	스9	행5
8	13	시80	스10	행6
8	16	시81	느1-3	행7
8	17	시82	느4-7	행8
8	18	시83	느8-11	행9
8	19	시84	느12-13	행10
8	20	시85	에1-3	행11
8	23	시86	에4-6	행12
8	24	시87	에7-10	행13
8	25	시88	사1-3	행14
8	26	시89:1-18	사4-6	행15
8	27	시89:19-52	사7-9	행16
8	30	전1	사10-12	행17
8	31	전2	사13-16	행18
9	1	전3	사17-21	행19
9	2	전4	사22-24	행20
9	3	전5	사25-28	행21
9	6	전6	사29-31	행22
9	7	전7	사32-34	행23
9	8	전8	사35-37	행24
9	9	전9	사38-40	행25
9	10	전10	사41-43	행26
9	13	전11	사44-45	행27
9	14	전12	사46-48	행28
9	15	시90	사49-51	히1
9	16	시91	사52-54	히2
9	17	시92	사55-57	히3
9	20	시93	사58-60	히4
9	21	시94	사61-63	히5
9	22	시95	사64-66	히6
9	23	시96	렘1-2	히7
9	24	시97	렘3-4	히8
9	27	시98	렘5-6	히9
9	28	시99	렘7-8	히10
9	29	시100	렘9-10	히11
9	30	시101	렘11-13	히12
10	1	시102	렘14-16	히13
10	4	시103	렘17-19	약1
10	5	시104	렘20-22	약2
10	6	시105	렘23-24	약3
10	7	시106	렘25-26	약4
10	8	아1	렘27-28	약5
10	11	아2	렘29-30	요1
10	12	아3	렘31-32	요2
10	13	아4	렘33-34	요3
10	14	아5	렘35-36	요4
10	15	아6	렘37-38	요5
10	18	아7	렘39-41	요5
10	19	아8	렘42-45	요6
10	20	시107	렘46-48	요7
10	21	시108	렘49-50	요8
10	22	시109	렘51-52	요9
10	25	시110	애1-2	요10
10	26	시111	애3-5	요11
10	27	시112	겔1-3	요12
10	28	시113	겔4-6	요13
10	29	시114	겔7-9	요14
11	1	시115	겔10-12	요15
11	2	시116	겔13-15	요16
11	3	시117	겔16-17	요17
11	4	시118	겔18-19	요18
11	5	시119:1-16	겔20-21	요19
11	8	시119:17-32	겔22-23	요20
11	9	시119:33-48	겔24-26	요21
11	10	시119:49-64	겔27-28	벧전1
11	11	시119:65-80	겔29-31	벧전2
11	12	시119:81-96	겔32-33	벧전3
11	15	시119:97-112	겔34-35	벧전4
11	16	시119:113-128	겔36-37	벧전5
11	17	시119:129-144	겔38-39	벧후1
11	18	시119:145-160	겔40-42	벧후2
11	19	시119:161-176	겔43-44	벧후3
11	22	시120	겔45-46	요일1
11	23	시121	겔47-48	요일2
11	24	시122	단1-2	요일3
11	25	시123	단3-4	요일4
11	26	시124	단5-6	요일5
11	29	시125	단7-8	요이1
11	30	시126	단9-10	요삼1
12	1	시127	단11-12	유1
12	2	시128	호1-4	계1
12	3	시129	호5-9	계2
12	6	시130	호10-14	계3
12	7	시131	욜1-3	계4
12	8	시132	암1-2	계5
12	9	시133-134	암3-4	계6
12	10	시135	암5-6	계7
12	13	시136	암7-8	계8
12	14	시137	암9/옵1	계9
12	15	시138	욘1-4	계10
12	16	시139	미1-4	계11
12	17	시140	미5-7	계12
12	20	시141	나1-3	계13
12	21	시142	합1-3	계14
12	22	시143	습1-3	계15
12	23	시144	학1-2	계16
12	24	시145	슥1-3	계17
12	27	시146	슥4-6	계18
12	28	시147	슥7-9	계19
12	29	시148	슥10-12	계20
12	30	시149	슥13-14	계21
12	31	시150	말1-4	계22
